"carrier","dest","mean.delay","count"
"B6","ACK",6.45660377358491,265
"DL","SAT",24.3774834437086,303
"DL","STL",20,1
"DL","PIT",18.2753036437247,250
"DL","PDX",14.8621444201313,458
"DL","PWM",13.6952789699571,235
"DL","DEN",12.1713185755534,1043
"DL","AUS",10.8248587570621,357
"DL","MIA",10.7481099656357,2929
"DL","PHX",10.6573875802998,469
"DL","MSP",10.6513923158266,2864
"DL","TPA",10.4784666351159,2129
"DL","ATL",10.4063364824888,10571
"DL","BOS",10.2723492723493,972
"DL","MSY",9.57974910394265,1129
"DL","RSW",9.5311004784689,426
"DL","FLL",9.22048611111111,2903
"DL","MCO",9.10949506037322,3663
"DL","MEM",8.53537735849057,432
"DL","DTW",8.24322916666667,3875
"DL","PBI",8.14786795048143,1466
"DL","SEA",7.39137645107794,1213
"DL","SAN",7.35253054101222,575
"DL","SLC",7.30085959885387,2102
"DL","SFO",6.89675675675676,1858
"DL","LAS",6.28528528528529,1673
"DL","MCI",6.0125,82
"DL","LAX",5.6685393258427,2501
"DL","SRQ",5.64638783269962,265
"DL","SJU",5.6006168080185,1301
"DL","JAC",5,2
"DL","EYW",3.64705882352941,17
"DL","PHL",1.5,2
"DL","STT",0.655172413793103,30
"DL","JAX",-1,1
"DL","BUF",-2.33333333333333,3
"DL","IND",-2.5,2
"DL","BNA",-4,1
"DL","DCA",-4.5,2
"DL","CVG",-5,4
"DL","OMA",-6,1
"EV","PBI",48.6666666666667,6
"EV","TYS",41.8184713375796,323
"EV","CAE",36.7019230769231,113
"EV","TUL",34.9063545150502,315
"EV","OKC",30.5688073394495,346
"EV","BHM",29.6948529411765,297
"EV","DSM",28.8288288288288,478
"EV","TVC",27.4761904761905,68
"EV","PWM",25.2873711340206,813
"EV","RIC",24.6566354218056,2114
"EV","MSN",23.6256684491979,571
"EV","ALB",23.6205250596659,439
"EV","ROC",23.5307582260372,729
"EV","MKE",23.1303948576676,1118
"EV","CLT",23.1053736356003,2508
"EV","BWI",22.8852941176471,352
"EV","ATL",22.4026442307692,1764
"EV","CVG",21.9220711297071,2013
"EV","PVD",21.7653631284916,376
"EV","CLE",21.5719424460432,588
"EV","CHO",21.3913043478261,52
"EV","STL",21.3263157894737,1826
"EV","DCA",21.279644895371,1717
"EV","MHT",21.2787418655098,998
"EV","MCI",21.2407031778229,1565
"EV","DAY",21.2145557655955,1134
"EV","SBN",21.1,10
"EV","GSP",20.8209169054441,747
"EV","GRR",20.4913793103448,721
"EV","BNA",20.2995637421231,2170
"EV","OMA",20.2832722832723,846
"EV","BGR",19.4345403899721,374
"EV","ILM",19.4166666666667,110
"EV","GSO",19.4149432955304,1605
"EV","SDF",19.1245634458673,891
"EV","JAX",18.9275945293644,1293
"EV","PHL",18.9166666666667,49
"EV","DTW",18.4373177842566,2545
"EV","SAV",18.2602921646746,804
"EV","MEM",18.0631412786109,1354
"EV","IAD",17.90833115696,4048
"EV","CHS",17.8075451066156,1922
"EV","BDL",17.5827160493827,435
"EV","SYR",17.5747508305648,325
"EV","ORF",17.475,769
"EV","BTV",17.3580034423408,1223
"EV","MSP",17.0934131736527,1773
"EV","MSY",16.5166959578207,590
"EV","RDU",15.9500632111252,1659
"EV","MYR",15.7586206896552,59
"EV","ORD",15.5,2
"EV","IND",14.435548438751,1306
"EV","PIT",14.2546483427648,1304
"EV","BUF",13.9970178926441,1042
"EV","CMH",13.7564432989691,820
"EV","AVL",8.61660079051383,265
"EV","XNA",8.03135888501742,292
"EV","SRQ",7.44827586206897,29
"EV","BOS",5.65384615384615,159
"EV","DFW",0.875,8
"EV","TPA",-3,1
"F9","DEN",20.2155425219941,685
"FL","CAK",20.8208778173191,864
"FL","ATL",18.4456094364351,2337
"FL","MKE",-1.70909090909091,59
"HA","HNL",4.90058479532164,342
"MQ","CVG",23.9031339031339,365
"MQ","ORF",21.5028901734104,365
"MQ","ORD",17.4672675521822,2276
"MQ","CRW",17,138
"MQ","IND",12.887323943662,365
"MQ","TVC",11.7878787878788,33
"MQ","CMH",11.7552941176471,2691
"MQ","DCA",11.2773757838881,2194
"MQ","BNA",11.1625594466061,2404
"MQ","BWI",11.0863095238095,365
"MQ","STL",10.0074626865672,139
"MQ","ATL",9.35320284697509,2322
"MQ","CLT",9.04829362524147,1620
"MQ","RDU",8.97013614404919,4794
"MQ","PIT",8.39664804469274,365
"MQ","CLE",8.37188070602556,1722
"MQ","MSP",8.2554567502021,1293
"MQ","DTW",6.97416576964478,1948
"MQ","XNA",5.8439226519337,744
"MQ","TPA",4.95238095238095,254
"OO","ORD",67,1
"OO","DTW",61,2
"OO","CLE",8.19047619047619,24
"OO","IAD",1,1
"OO","MSP",0.75,4
"UA","STL",77.5,2
"UA","RDU",60,1
"UA","JAC",28.7,23
"UA","BDL",25.7142857142857,8
"UA","BQN",23.8716216216216,297
"UA","SAT",17.8307692307692,330
"UA","MTJ",17.6428571428571,15
"UA","SEA",17.3156474820144,1117
"UA","PDX",16.5679012345679,571
"UA","ATL",15.7864077669903,103
"UA","AUS",14.9156626506024,670
"UA","ORD",13.972390373542,6984
"UA","BOS",13.439696969697,3342
"UA","HNL",13.4242424242424,365
"UA","CLE",13.3072386058981,1890
"UA","MIA",13.2635309278351,1565
"UA","SAN",12.9300884955752,1134
"UA","ANC",12.875,8
"UA","DFW",12.8519553072626,1094
"UA","PBI",12.723986856517,1839
"UA","FLL",12.6563415655086,2407
"UA","DEN",12.5725312749534,3796
"UA","HDN",12.2857142857143,15
"UA","SFO",12.0159716060337,6819
"UA","TPA",11.6738241308793,1968
"UA","BZN",11.4571428571429,36
"UA","PHX",11.3911870503597,1120
"UA","LAS",11.2300751879699,2010
"UA","LAX",10.757738198167,5823
"UA","IAH",10.6520275215927,6924
"UA","SJU",10.3877551020408,688
"UA","MSY",9.84528301886792,269
"UA","MCO",8.56521739130435,3217
"UA","RSW",8.47457627118644,1072
"UA","EGE",8,110
"UA","SNA",7.76190476190476,825
"UA","STT",6.14893617021277,189
"UA","PIT",6,2
"UA","DCA",3,2
"UA","OMA",1.5,2
"UA","SDF",0,3
"UA","CLT",-2.5,2
"UA","DTW",-4,1
"UA","CHS",-5,1
"UA","MSP",-6,2
"UA","IND",-6.66666666666667,3
"UA","IAD",-10,1
"US","PHX",7.19313113291704,2271
"US","DCA",4.96835301983508,4716
"US","CLT",4.33145275035261,8632
"US","PHL",3.2900641025641,633
"US","BOS",-0.537637088733799,4283
"US","LGA",NA,1
"VX","SFO",17.5276634659351,2197
"VX","LAX",10.561889886763,2580
"VX","LAS",1.93956043956044,365
"VX","SJC",-2,1
"VX","PSP",-2.94444444444444,19
"WN","MSY",33.3716216216216,298
"WN","PHX",20.1549295774648,431
"WN","DEN",19.7857142857143,1404
"WN","MDW",18.589762611276,4113
"WN","STL",17.5227586206897,1469
"WN","BNA",16.6504320502749,1284
"WN","HOU",16.3038433647571,1401
"WN","MKE",16.1520376175549,1310
"WN","BWI",9.905,208
"WN","AUS",3.84067796610169,298
"WN","ATL",2.3448275862069,59
"YV","IAD",21.010752688172,311
"YV","CLT",17.484496124031,282
"YV","PHL",-2.5,8
